Timestamp,Self-chosen ID (the same as the one used for the first part),Step 3: Paste the unique URL link below
5/7/2020 20:17:54,4520,gm0b0k11
5/7/2020 20:24:32,Christian Jacobsen,9tnr4s3y
5/7/2020 20:56:37,chjac777,8x9o12cu
5/8/2020 13:14:13,tantelulu,ikqvylxk
5/8/2020 20:12:17,GOAT,https://socialcognition.au.dk/p/ii2ca2a4/sc2/Rating/1/
5/8/2020 23:15:59,Havegang7,14ho06cq
5/9/2020 9:14:36,1918,5nmlzc2i
5/9/2020 11:59:07,Slowlydying ,v5ibxvij
5/9/2020 14:57:15,RBJ,11u16gtf
5/9/2020 15:19:11,SimoneA,https://socialcognition.au.dk/p/ygqs8y5h/sc2/Rating/1/
5/9/2020 15:27:34,Astrid,https://socialcognition.au.dk/p/9700fvfg/sc2/Rating/1/
5/9/2020 18:07:00,1705,https://socialcognition.au.dk/p/ke5u1znt/sc2/Rating/1/
5/10/2020 3:59:01,Carmesin,https://socialcognition.au.dk/p/wr6elhvg/sc2/Rating/1/
5/10/2020 10:04:58,lasagne,https://socialcognition.au.dk/p/ru6qw4li/sc2/Rating/1/
5/10/2020 11:58:32,hejhejhund,https://socialcognition.au.dk/p/oug44nb6/sc2/Rating/1/
5/10/2020 12:46:22,Sarah,https://socialcognition.au.dk/p/uvpc88el/sc2/Rating/1/
5/10/2020 20:25:44,9696,https://socialcognition.au.dk/p/4v10zr69/sc2/Rating/1/
5/11/2020 13:54:52,ASDF1234,https://socialcognition.au.dk/p/hsui8h86/sc2/Rating/1/
5/11/2020 13:59:24,Python,https://socialcognition.au.dk/p/7vzmcs48/sc2/Rating/1/
5/11/2020 14:06:01,Bøllemis,https://socialcognition.au.dk/p/xolku9ti/sc2/Rating/1/
5/11/2020 15:07:25,lilla,https://socialcognition.au.dk/OutOfRangeNotification/
5/11/2020 15:33:08,JakobBjerreKnudsen,https://socialcognition.au.dk/p/6orxz59z/sc2/Rating/1/
5/11/2020 15:45:55,Rensdyrlam,https://socialcognition.au.dk/p/oen6qf4o/sc2/Rating/1/
5/11/2020 15:58:12,mojodora,https://socialcognition.au.dk/p/04u9on02/sc2/Rating/1/
5/11/2020 17:41:18,jesper,https://socialcognition.au.dk/p/wltwxmba/sc2/Rating/2/
5/11/2020 21:23:15,Hejhej,https://socialcognition.au.dk/p/xk4anymq/sc2/Rating/1/
5/11/2020 21:28:59,Katrine,https://socialcognition.au.dk/p/v2mkys1q/sc2/Rating/1/
5/12/2020 8:45:49,2205,https://socialcognition.au.dk/p/wnjx49s1/sc2/Rating/1/
5/12/2020 8:46:54,17,http://socialcognition.au.dk/join/1yb78cielt/
5/12/2020 10:35:20,andrea ,https://socialcognition.au.dk/p/ia0rpy42/sc2/Rating/1/
5/12/2020 12:19:14,Llamaman,https://socialcognition.au.dk/p/qr957mqd/sc2/Rating/1/
5/12/2020 12:19:40,Llamaman,https://socialcognition.au.dk/p/qr957mqd/sc2/Rating/1/
5/12/2020 14:47:50,1879,https://socialcognition.au.dk/p/ara1b058/sc2/Rating/1/
5/12/2020 14:58:24,Hejhej,https://socialcognition.au.dk/p/xk4anymq/sc2/Rating/1/
5/12/2020 15:11:16,The cat,https://socialcognition.au.dk/p/ij6k2p1q/sc2/Rating/37/
5/12/2020 15:30:49,AnneE,https://socialcognition.au.dk/p/xanqnoe3/sc2/Rating/1/
5/12/2020 15:32:09,Misterperc,https://socialcognition.au.dk/p/4d35wwdw/sc2/Rating/1/
5/12/2020 18:23:06,Moe,https://socialcognition.au.dk/p/z1wyzuo3/sc2/Rating/2/
5/12/2020 18:49:58,SKJ,https://socialcognition.au.dk/OutOfRangeNotification/
5/12/2020 19:08:45,Fernanda M.,https://socialcognition.au.dk/p/b8fzqevv/sc2/Rating/68/
5/12/2020 19:32:57,45bites,https://socialcognition.au.dk/p/36hprd2x/sc2/Rating/1/
5/12/2020 19:33:53,6107,https://socialcognition.au.dk/p/xxe6xzes/sc2/Rating/1/
5/12/2020 20:37:34,Peter Kej Kromann,https://socialcognition.au.dk/p/nmuohv1m/sc2/Rating/1/
5/12/2020 20:54:50,●,https://socialcognition.au.dk/OutOfRangeNotification/
5/12/2020 22:55:13,SOJ,https://socialcognition.au.dk/p/gsnp1osd/sc2/Rating/1/
5/13/2020 0:27:55,Grandmasterflash,https://socialcognition.au.dk/p/4wl0bfqz/sc2/Rating/1/
5/13/2020 14:39:08,Minime,https://socialcognition.au.dk/p/1qevmfei/sc2/Rating/1/
5/13/2020 22:02:37,rosenmeier,https://socialcognition.au.dk/p/5969nxrd/sc2/Rating/1/
5/13/2020 22:10:28,lisjohttps://www.google.com/url?q=http://socialcognition.au.dk/join/1yb78cielt/&sa=D&ust=1589403901717000&usg=AFQjCNHsSldL6F-JcZF4LbeD340WvRaXFQ,https://www.google.com/url?q=http://socialcognition.au.dk/join/1yb78cielt/&sa=D&ust=1589403901717000&usg=AFQjCNHsSldL6F-JcZF4LbeD340WvRaXFQ
5/13/2020 22:11:54,lisjo,https://www.google.com/url?q=http://socialcognition.au.dk/join/1yb78cielt/&sa=D&ust=1589404235278000&usg=AFQjCNGrvIsYoxC6-_-sfZnke8804Sj6mA
5/13/2020 23:02:11,Johanne,https://socialcognition.au.dk/p/dt6c67jl/sc2/Rating/1/
5/13/2020 23:03:44,ninawinther,https://socialcognition.au.dk/p/oxb4ufpz/sc2/Rating/1/
5/13/2020 23:28:34,Asad,https://socialcognition.au.dk/p/e96jb6mr/sc2/Rating/1/