Paper,Change,ChangeSD,Feedback,LowM,SameM,HighM,SecondRatingM,
1,-0.39,0.05,-2.5,,,,,Simonsen et al. (2014)
3,-0.31,0.11,-2.5,,,,,Campbell-Meiklejohn et al. (2012)
5,-0.40,0.25,-2.5,,,,,Klucharev et al. (2011)
6,-0.41,1.53,-2.5,,,,,Simonsen et al. (2019)
7,-0.54,1.46,-2.5,,,,,Unpublished in-class experiment (2020)
8,-0.74,0.42,-2.5,0.27,0.43,0.32,,Shestakova et al (2012)
9,-0.11,NA,-2.5,4.28,4.42,4.46,4.39,Nook and Zaki (2015)
10,-0.33,NA,-2.5,,,,,Zaki et al. (2011)
13,-0.41,1.49,-2.5,,,,,Unpublished new study (2020)
1,NA,NA,0,,,,,
3,NA,NA,0,,,,,
5,-0.05,0.28,0,,,,,
6,-0.080,1.590,0,,,,,
7,-0.22,1.49,0,,,,,
8,-0.18,0.27,0,,,,,
9,0.03,NA,0,,,,,
10,NA,NA,0,,,,,
13,-0.08,1.78,0,,,,,
1,0.46,0.05,2.5,,,,,
3,0.50,0.10,2.5,,,,,
5,0.28,0.24,2.5,,,,,
6,0.46,1.59,2.5,,,,,
7,0.14,1.41,2.5,,,,,
8,0.43,0.32,2.5,,,,,
9,0.07,NA,2.5,,,,,
10,0.10,NA,2.5,,,,,
13,0.52,1.74,2.5,,,,,
4,0.26,0.095,1,,,,,Zhao et al. (2016)